ID,EnglishFirstLanguage,Story,Rater1,Rater2,Rater3,Rater4,Rater5,RaterMean,SemDis_CuesIn_cbowukwacsubtitle_nf_m,SemDis_CuesOUT_cbowukwacsubtitle_nf_m,WordCount
95,yes,"I wanted to write my grandmother a letter, to show her all of the advancements in my life. She was a little old woman, who did not have much to do other than find contentment among the success of her children and grandchildren. So, one day, I wrote her an elaborate letter, detailing all the wonderful events taking place in my life; I was going to send the letter but I could not find a stamp anywhere. Once my mother found the stamps, we sealed it and sent it together. ",3,2,4,4,4,3.4,1.16441,0.9659,90
96,y,"I was sitting in my dorm room one day and I really missed seeing my friends from back home. Suddenly I came up with the idea to write each of them a letter. I sat at my desk and wrote each one of them. Once I was finished, I placed a stamp on all of the letters. I placed them into the mailbox to send to them.",2,1,2,3,2,2,0.8896,1.11041,67
97,y,"My professor wants us to write a gratitude letter to someone in our lives who means a lot to us. This person has to be someone outside of our families. He or she has to be either a friend, or coach, or professor. We mush handwrite the letter, put it in an envelope, stamp it, and send it to the person we choose.",3,2,3,3,3,2.8,0.88801,0.89266,63
98,yes,"I am writing a letter that I would like to send to my mother. I went to the post office but they won't let me send it. They say I need a stamp...? No one ever taught me that before college. These are expensive! Sorry mom, I don't think you'll be getting many more of these from me. ",3,1,4,3,4,3,0.88937,0.88921,58
99,yes,On my way to work one morning I ran into my friend going to the Post Office. She was on her way to mail a letter to her family when she realized she forgot a stamp. Luckily I had a stamp in my purse and was more than willing to give it to her. She let me know the next time I saw her that She was able to send the letter with no issues.,2,1,2,4,2,2.2,1.11011,0.88963,75
100,y,"Every Christmas I get more and more excited thinking about Santa and all the presents he would send to my house. I write a pages long list and send it off in a letter addressed to the North Pole. This year however, I was so excited I forgot to put a stamp on it, and my presents never came.",3,3,4,3,5,3.6,1.10843,1.08522,59
101,yes,"I went to the post office near the HUB today to but some stamps. I thought that it would be cute to send a letter to my girlfriend. When we were dating long distance we used to send each other letters all of the time. I want to surprise her with a letter since we don't send them anymore.
",4,2,4,3,4,3.4,1.0139,0.86096,59
102,yes,"As  the man was boarding the train, he thought about the letter he left for his wife. He wasnt sure how to send it, so instead he left it on the table. He poured his heart out in this letter, explaining the reason why he was leaving. so caught up in his emotions he couldnt even pick out a stamp to use. he grew impatient for the response and couldnt focus so much that he missed his stop. 
",4,4,5,3,5,4.2,0.88944,0.88957,80
103,y,"In today's society, technology is so readily available that to contact another, only a click or a button is needed. While this is very beneficial to our society, I still think our education system should teach students how to properly send mail. I have recently come across a situation where I helped a fellow teen address and stamp a letter because he did not know how. Letters use to be the mail form of communication, and now there are a percent of children who do not even know how to write one.",1,5,3,4,4,3.4,1.02177,0.9571,92
104,yes,"He wanted to send her a letter professing his love for her.  He spent hours writing a letter full of his truest emotions.  The night before he sent it, he dreamed he didn't even need to go buy stamps.  Instead, during the night doves would fly into his room and take the letter to her. ",4,4,5,5,4,4.4,0.88913,0.88928,58
105,yes,"Writing that letter aggravated the man. Wallowing time and stamp of an aching hand kept his mind at bay. Relief came only with the sound of the rain and the loss of the radio signal. From there on in, he could hit send. ",4,5,4,4,2,3.8,1.11952,0.94831,43
106,yes,"When I traveled to Europe, I wanted to tell my family about what a great time I was having. I decided to send a letter to them, telling them about all my adventures that I had. My only problem was that I did not have a stamp to send it with. I ran all around the host city looking for a place to find a stamp, but everything was in a different language so it was hard to pick one out. By the time I found one, it was time to fly home, so I did not send the letter to my family.",3,4,5,3,3,3.6,0.8896,1.1102,103
107,yes,The little boy decided to send Santa Clause a letter. He wrote his Christmas list and was excited to pick out a stamp to send it all the way to the North Pole. His parents helped him fid Santa's address so he could send out the letter and tell all of his friends at school about his exciting letter.,4,2,3,4,2,3,0.83154,1.16893,59
108,yes,"Mary's husband is in the army. He was sent to Hawaii to attend bootcamp. She knew that she had pictures she wanted to send to him, so she went to the post office to buy a stamp. Along with the pictures, Mary included a love letter to keep her husbands spirits high. ",3,3,2,4,4,3.2,0.89028,1.10925,52
109,yes,"I planned on writing a letter to my mom. I went to the post office to send it. I realized I forgot  a stamp. So, I went out and bought one",1,1,1,1,1,1,1.10071,0.8848,32
110,yes,"on this cold december day timmy only had one thing on his mind. he raced around the house looking for a piece of paper big enough to write his letter. he wrote a novels worth of toys he wanted. He sealed the letter and was all ready to send it to the north pole. He rushed out of his house with his jacket only half on and barely up his arm. But he didn't care, he only had one mission. He ran to the mail box and jumped up to open it and throw his letter in when he realized he forgot a stamp.",4,4,5,3,4,4,0.8896,1.1104,104
111,y,"Every year a little girl in a blue dress started reflecting on her year. She knew the holidays were coming, so it was time to send letters to her family. She wrote a personal message for each of her family members before the letters were sent. She walked all the way to the post office to make sure she had the cutest stamps they had to offer. She hoped that her little notes would help bring her family together in this time of joy.",4,4,4,3,3,3.6,1.11451,0.88632,84
112,y,"A few weeks ago my grandma sent a letter to me in the mail. I was ready to pick it up and reply to her but I realized I did no have a stamp so I could not send it. I also realized I forgot my combination for my mailbox, so I can't even see the letter that she sent me. Because of things like this, I usually text or call people.",2,1,4,3,2,2.4,1.11041,1.1104,72
113,yes,"late october I decided to send a letter to my mom from school. However, I did not know where to buy stamps from in Penn State. I had to look everywhere and finally found them in my apartment. I was so delighted and my mom enjoyed receiving mail from me while I was away at school. ",2,1,2,3,3,2.2,0.88957,0.88952,56
114,y,"I took the wax and placed it in the spoon, holding the match underneath it. Carefully, I poured it onto the letter, being careful to make it as neat as possible. Quickly and firmly, I pressed the stamp into the wax, creating the official seal, ensuring that the person I send it to knows if it has been opened. The wax sealing process is as intricate and as old as the act of sending letters, and it is my duty as the King's dispatch to carry on that legacy.",5,5,5,5,5,5,1.06386,1.00986,89
115,yes,"this christmas, i would like to send my wish list to santa. i will write him a letter and explain what i want and why. i will then go to the post office to put my list in an envelope. using a stamp, i will send the letter to the north pole",3,2,3,3,2,2.6,0.8577,0.75488,52
116,yes,"i wanted to send a letter. But i ran out of stamps . Instead i made my own stamps. i hope no one notices
",1,1,3,3,2,2,0.88077,0.87608,24
117,yes,Once upon a time John had a pen pal his  name was Jared and he lived in Bangkok. They would often write to one another and if not talk on the phone. But this was difficult with the time difference. John needed help from his mom to send the letter. Oftentimes he would forget which side the stamp went on.,3,3,5,5,3,3.8,1.00182,0.99553,61
118,yes,"There was once this young girl and young boy who fell in love during a time of war. There love was like no other... eternal. But as fate would have it the young boy had been shipped off to fight the war. After months of no contact, she decided to contact him in a series a stamped letters. She'd send these letters to him in times of hopelessness. In times when she wondered if she'd ever see him again. As she wrote these letters, she never received a reply. The boy had long passed before the pen to",5,3,5,4,4,4.2,1.10711,0.88894,98
120,yes,I walked to the post office to send a very large package to my mom. I also attached inside a letter. This letter explained how much I can not wait to come home and see the family again. I put a stamp on my package and texted my mom letting her know something was on the way.,2,1,2,3,2,2,1.10207,1.109,57
121,yes,"Ever since I moved away from my best friend its been very difficult to keep in contact with them. So I decided to surprise her and write a nice letter to her and send it all the way to her house. When I arrived at the post office I forgot to put one important thing on the letter, the STAMP! Its okay though because the lady behind the desk had extra.",2,2,3,3,2,2.4,0.88959,0.8896,71
122,yes,"I am going to send a letter to my dear friend who has just left her study abroad trip in Spain. She is going for the whole semester, And I will miss her. Her and I promised to write back and forth, as she will have no cell phone service. I tried to write to her earlier, but i forgot to place a stamp on the envelope! ",2,1,3,4,3,2.6,1.11293,0.91513,67
123,yes,"I sent a letter to my mother back at home. I was forced to go to the post office and buy a stamp for 50 cents. What a waste of my money I thought to myself. After I bought my stamp, I sent my letter home. Only to realize I put the wrong address and it got sent back to me a week later.",2,2,3,2,3,2.4,0.85468,0.88584,64
124,y,My friend moved away to florida so we decided to write letters occasionally. We usually try to one up each other by finding funny stamps and bizarre stickers to send with the letter. We both normally send the letters near the end of the month so we both have time to find intriguing stamps and stickers.,2,4,4,4,4,3.6,1.09292,0.93405,56
125,yes,"There was a young boy who loved writing letters to his favorite elf. This elf would reply to the boy after every letter he received. The boy would get a stamp from school, which was usually a sticker from his teachers, then he would ask his parents to send the letter to the North Pole for his favorite elf. The young boy found out years later that the elf he always sent letters to as a child was now living in his pet cat. ",5,5,5,5,5,5,1.04211,1.04206,84
126,y,"As I was walking towards my class I found bits of notes leading me to an unfamiliar place. It read along the notes and I somehow got myself lost. I tried using my phone but it automatically shut down as I was trying to go on google maps to locate myself.
Few hours into my walk, I find a piece of paper and a stamp. The letter reads, You have 5hours to find the nearest post office to send your completed questionnaire"" I flip the letter and I see a long list of questions.""",5,5,5,5,4,4.8,1.08742,1.10344,93
127,yes,"I was sitting at my desk writing a letter to my mom. As I sealed the envelope, I realized I had no stamps. Then I had to drive to the post office to buy a stamp, and send out the letter to my mom. I hope my mom gets my letter soon.",2,1,1,2,1,1.4,1.11045,0.88957,52
128,yes,"One year, we got a foreign exchange student from Germany. He was only able to stay in America for three weeks, so when he left, I missed him. I would send him letters with german stamps that he had brought with him. He was such a great guy, and I'm forever thankful for that moment. ",4,2,4,4,4,3.6,0.88978,1.11055,55
129,yes,"As i wrote a letter to my mother, i had feelings of hope. Once i was done writing i closed to envelope and put on a stamp. Going to the post office i realized i would be seeing her soon. I couldn't send the letter knowing i had forgotten to write love",3,2,2,3,2,2.4,0.5634,0.74268,52
130,y,"My dad is on a business trip across the country. I miss him a lot so I am going to send him a letter. First, I need to buy a stamp, envelope, and paper. Then I will write the letter. I will tell him how me and my sister have been, and ask him how he is doing. Last step is to send it and wait for a response. I hope receiving the letter will brighten his day. ",3,3,3,4,2,3,1.2767,1.13087,78
131,yes,The first week of December is always crucial. Santa decides whether or not I deserve to be on the naughty or nice list. I write him a letter explaining my behavior for the year. I even place a candy cane stamp in the right hand corner so he reads mine first. I hand my letter to the mailman to send it directly to the North Pole. Now we sit and wait for Christmas.,4,4,5,4,4,4.2,1.17162,1.1132,73
132,yes,"I had no stamps. I had to send out the letter before tomorrow! I couldn't miss his birthday. We celebrated it every year together since we were little. How am I supposed to celebrate without him here? There's no time to waste, I have to send it right away.",2,4,3,3,2,2.8,0.90584,1.05767,49
133,yes,A girl is writing a letter to santa. She is asking for a doll for christmas and a new dress. She also wanted a pet from santa. He has her parents send the letter to the north pole for her. Then come christmas day the girl got a puppy.,4,4,3,3,2,3.2,1.19882,0.89641,49
134,yes,"Oh dear, I miss you is what Ms. Jenson said after receiving a letter from her late husband. Mr. Jenson however did not actually send the mail. It was a savage lunatic who head forged the stamp to lure miss Jenson to her demise.",5,5,5,5,5,5,1.16291,0.86781,44
135,yes,"I am mailing a letter to my brother who is in the marines. I have to send the letter to Japan here he is currently resided. In the letter im telling him I miss him and I wish we could Facetime daily. Before I can send the letter I need to buy a stamp so that it an get sent to the rightful destination. 
",2,1,2,2,3,2,1.3374,1.16002,65
136,yes,"I was about to send it. The letter that explained my love for him. My heart was racing as I brought it to the front of the post office. I placed the stamp in the corner, put the note in the postman's hand, and it off it went. ",4,2,3,4,3,3.2,1.15485,0.86388,48
137,y,"The girl's best friend moved away, so they had to send each other letters back and forth to stay in contact. Everyday she would walk to the post office after school with the right amount of change to buy a stamp and an envelope. They did this for a year, and slowly as time continued on they stopped. ",4,4,4,3,2,3.4,1.106,1.10771,58
138,y,I once had to write a letter to my great aunt for her 92nd birthday. I wrote her a really nice and eloquent note. When I was done writing I went to the post office and grabbed an envelope and stamp. After the letter was all filled out I put it in the post box to send to her.,2,1,2,3,2,2,0.99777,1.02321,59
139,yes,"I told my mom that I had a really important letter to send to my friend, but I was out of stamps! My mom decided to help me out and she went into her room and gave me one of hers to borrow. I was very appreciative and right after I thanked her, I put the stamp on the letter and sent it to my friend.",2,3,2,3,2,2.4,1.11043,1.11094,66
140,yes,"The boy picked up his precious letter carefully and walked over to the man. The man gave him a stamp and a little nod. The boy intended to send this letter to someone very special, and the man somehow knew without any shared words.",2,2,3,3,3,2.6,1.33823,1.00616,44
141,y,A man was writing to a loved one back home a letter with all that has happened since he left the house. Knowing that he had no stamps he had to ask his neighbors if they had any. After trying house after house he finally found a couple that was home whom let him have a stamp. He then went to the post office where he got help in sending his letter home.,3,4,4,4,2,3.4,0.88996,1.1106,73
142,y,"His mother woke up, distressed and unsettled. She only had one more stamp left. Had she really sent that many letters already? Her son left for bootcamp only three weeks ago, and the two books of stamps went much faster than the long days she spent without him, wondering what he could possibly be doing. ",3,2,4,3,4,3.2,0.8896,1.1104,55
143,y,"I was typing a quick email to send to my grandfather, when I realized he wouldn't appreciate it as my as an old fashioned letter. I broke out the pen and paper and wrote a heartfelt letter to my grandpa wishing him the best and hoping he will get better soon. I took my letter down to the post office to get a stamp for delivery. Soon after I plopped it on and the office told me that they would send my letter by the next day",3,2,4,3,3,3,1.36312,1.35522,87
144,english,"I needed to send a letter home, and when I brought it to the post office I was kicked out. The letter, I learned had no stamp and was not valid to send yet. I bought a stamp and stuck it on the letter, and sent it. ",1,4,1,2,1,1.8,1.17682,0.89002,47
145,y,"I have a very important letter to send to a potential new boss. I have been working on it for a good chunk of time now, so as to impress. In my pursuit of trying to please said new boss, I have forgotten something very important. As I approached the mailbox, I had realized I forgot to stamp my envelope, rendering my letter useless without. I then had to go retrieve a new stamp and hope it was not too late.",2,2,3,4,3,2.8,1.11038,0.88963,81
146,yes,"A boy found a sealed letter laying on the side walk. He picked it up and saw that it had an address and something inside, but no stamp. He wanted very badly to open the letter and see what was inside, but he knew that was wrong. Instead he found a stamp at his house and sent the letter himself because it was the right thing to do. ",4,4,4,3,5,4,0.90626,1.1113,68
147,yes,"i was on my way to class when i found a letter address to Santa Clause on the sidewalk. i thought to myself this needs to be mailed out right away, christmas is around the corner. When i look at the letter i realize it doesnt have a stamp. i need to send this letter o i need to find a stamp. i see a bird with a stamp in its mouth so i chase it down all the way to the post office just to send the letter to the north pole. ",4,3,5,4,5,4.2,0.90667,1.0808,93
148,yes,"This morning I went to the post office to send my mother a letter. In the contents of this letter, I was telling her how thankful I am for everything she does for me. Before I put a stamp on it and sent it off, I looked at it one more time and made sure that I was pleased with what I wrote. Off it goes.",4,2,2,2,2,2.4,1.35235,1.2434,66
149,yes,"Billy knew he had to send a letter to mary before the day was over. He quickly rushed out of school to go home and get his letter and then right away sprinted to the post office. He used the last of his allowance to buy a stamp and send his letter to Mary. He already couldn't wait to hear back from his best friend.
",4,3,3,3,3,3.2,1.02044,1.0785,65
150,y,I went to the mailroom in the commons.  I had to buy stamps to put on a letter.  It was going to my mother.  I had to send it to her through the mail.,1,1,1,1,1,1,1.15456,1.13679,37
151,yes,"One day, i got a letter in the mail from my best friends. It even had their signature stamp on it, a painting of a bird. They asked me how I was doing at college. I decided to send them a letter back.",3,2,2,2,3,2.4,1.11072,1.11152,43
152,yes,The other day I wrote a letter to my grandma thanking her for the gift she bought me. I went to send it but I realized I forgot the stamp. I didn't have any left so I drove to the post office. When I got there it was closed. Oh well.,2,2,1,3,2,2,1.22229,0.86657,51
153,yes,"I stared down at the letter in my hands. I placed the stamp on it. It was ready, though I knew I would never send it. He would never know. ",4,1,4,2,2,2.6,1.11053,0.88944,30
154,yes,"My best friend goes to college across the country. It was her birthday, so I wanted to surprise her and send her a package. I bought her a present and wrote her a letter that I know she'll love. I went to the post office, bought a stamp, and sent her the gift.",2,1,2,2,2,1.8,0.96756,1.10463,53
155,yes,"My grandmother's birthday was approaching and I wanted to send her a special card. So I went to the store and picked out a cute little card with a picture of a granddaughter and grandmother on it. Within in, I wrote a letter to her telling her how much I loved her and cared for her. With that, I put a stamp on the envelope and mailed it to her. ",3,2,3,4,2,2.8,0.88848,1.10979,70
156,yes,"After getting lot in Pinterest and becoming enchanted with different doodles, designs, and pictures to personalize snail mail, I decided to finally join an anonymous pen pal website. I went out to the store to pick up some colorful pens, paper, and stamps. I spent my sunday pouring glitter in the linings of envelopes, tracing bubbled letters in gel pens, and pasting magazine pictures to my personalized letters I'd be sending out. I found it meditative to put such labors of love for a stranger
",4,5,5,5,4,4.6,0.88961,0.88961,85
157,yes,"John was married to Cathy for 2 years before he was called back on duty in the army. Every week he would send Cathy letters . It was the only way they could stay in touch. However one day he ran out of stamps. Although Cathy stopped receiving letters, she continued to write, until a year had passed without receiving a letter.",4,4,4,3,5,4,0.73671,0.97555,62
158,y,"The silence of snow fell over the streets as a young boy looked out his window. The was joy in the air and lights decorating houses. The ground was covered in snow but he was sure that his snow boots would do the job. The clock struck 10 o'clock as he slipped them on and made his way to the front door. Clutched against his chest he had a single letter for the man who resided in the North Pole. There was no stamp, but he knew that all he had to do was send it by midnight.",4,4,5,5,4,4.4,0.88952,1.11045,98
159,yes,"Her sister was away at college and she missed her a lot. She wanted to send her a letter to let her know that she was thinking about her. She forgot that she ran out of stamps so she had to go to the post office to get some. After she got stamps, she was able to send her letter. ",2,1,2,2,2,1.8,0.88605,0.88762,60
160,yes,My grandma sent me a kind letter yesterday. It had a colorful stamp and nice handwriting. I'll have to make sure to send her something nice back to tell her I got it. I don't know where to go to get a nice card for her but I'll be sure to pick a good one.,3,2,1,3,2,2.2,1.1918,0.97108,55
161,y,When I was in the fourth grade I had to send a letter to my pen pall in another country. Before I could send my letter I had to go to the post office and buy a stamp for it. This is when I realized that sending letters are not free.,2,2,2,4,2,2.4,1.38801,1.11031,51
162,yes,"i went to the post office to send my friend a letter that had a stamp on it 
",1,1,1,1,1,1,0.63655,1.08041,19
163,yes,"I wrote a letter to my mom. I am going to send it today. I need to find a stamp first. After I find one, I will send it.",1,1,1,1,1,1,0.67833,0.85827,29
164,y,"I went to the post office to send a letter. But, I could not because they did not have the stamps I like.",1,1,1,1,1,1,0.61918,0.74496,23
165,yes,"My friend is currently serving in the marines and the only way to contact her is through written letters. I do not mind writing to her, in fact i love sending her things and receiving things she sends me as well. The only problem is that i always forget to the stamp, which delays the entire process.",3,3,2,3,2,2.6,1.11498,0.89183,57
166,yes,"It was Andy's birthday and I hadn't seen him in months. I wanted to send him something super special. I got all of his favorite candy, movies, and clothes. But most importantly, I wrote him a heartfelt letter. I was so excited to send it that I couldn't wait any longer! I went to the post office to get a stamp so I could send it off that day. I hope he enjoys everything I got him.",3,3,5,4,2,3.4,0.88958,1.11413,77
167,y,once upon a time there was a stamp that went on a letter. I sent the letter. I had fun stamping the letter then sending it.,1,1,1,1,1,1,0.79111,0.83757,26
168,yes,"I drove to the post office today to mail a letter. However, I realized I forgot to bring a stamp. How will I send my letter now? Oh Wait!, I forgot I can purchase stamps at the post office. ",2,1,1,2,1,1.4,1.10148,1.10535,39
169,yes,"I have been away at college for three months now. I miss my family a lot, so I decided to write them a letter. I picked up an envelope, stamp, and paper from the store and wrote my family a letter. I then went to send the letter at the post office. ",2,1,2,3,1,1.8,0.90491,1.11172,52
172,y,this morning I was sending a letter to my wife to see how she is doing in the military. I wrote updating her on the kids and everything that was going on back here at home. I asked how things were going on her first deployment. After I was done with the letter I stamped it and it was ready to send.,3,2,2,3,3,2.6,0.88094,0.99481,62
173,yes,I went to the post office. I was there to send my letter. Once I got there I noticed the letter didn't have a stamp. I went back  home to get one.,1,1,1,1,1,1,0.64589,0.71724,33
174,yes,"I filled out my college applications almost a year ago. I had to send my letter of recommendation to the admissions office, but I wasn't that sure how. I asked my dad if he had a stamp for my letter, but he told me I'd have to go to the Post Office. It turns out, stamps are kind of expensive, but at least I was able to send my letter.",2,1,3,4,3,2.6,0.90107,0.9819,70
175,yes,"i went to write my letter to santa claus, but didn't want any disruptions. I waited until everyone was asleep, went to my dads big office, hopped into his chair, and turned the lamp on. I wrote down everything i wanted, and even asked for santa to give my sick sister a christmas miracle. When I finished, I grabbed an envelope, took a christmas stamp, addressed it to the north pole, and went to bed and put the letter under my pillow. Tomorrow, I will put it in the mailbox and send it to Santa.",4,5,5,3,4,4.2,0.66139,0.75865,95
176,yes,"I have missed my father dearly these past months. He no longer has a phone in the house that I can call, so instead I decided I'll write him a letter instead. I want to keep a good relationship with him as he is part of the little family I have. I hope he will enjoy hearing from me as soon as I get this to the post office.",4,3,2,3,3,3,1.01354,1.17277,69
177,yes,"When I was a teenager, I had a pen pal who lived in Norway. Well, sort of. It was really only a one time thing that my 11th grade english teacher forced me to do. We wrote a letter, and she put them in envelopes with stamps and sent them off. All that I wrote in my letter, however, was just my twitter username. When she got the letter, she began following me and she told me that none of my tweets were funny.",4,5,5,4,5,4.6,1.05062,1.04919,84
178,y,"It was a rainy summer evening and the young girl had sat down at her desk. Her bae was off at war fighting for their country and it was time for her to write her daily letter. The only thing is, she hadn't heard from him in nearly two weeks. As she sat down with tears streaming from her cheeks, she began to write about how much she loved him. When she finished and was ready to send her letter, she realized she didn't have any stamps left and had to walk to the store in the pouring rain. ",3,3,4,4,2,3.2,0.87298,1.12644,99
179,y,"I wrote a letter to my husband, letting him know that When he comes home there will be a new member of our family. I wish I didn't have to send him the news and he could receive it in person as we can start a family together. Although the war has called him away. I must send him the biggest news he will ever receive while he is thousands of miles away. It is like I am sending him a gift, just putting a stamp on it and Surprise!",5,5,4,4,2,4,0.88979,0.88969,90
182,y,I decided to mail a letter to my long lost friend Freddy yesterday. I knew he loved turtles so I tried to find a turtle stamp for it. I eventually found it at the post office and decided to send the letter tomorrow. Now I have to wait for his response.,3,3,3,2,2,2.6,1.11629,1.09754,51
183,yes,My friend from home enlisted in the Air Force; therefore the only way I could talk to him is by means of a letter. I bought a card from the local store and began writing It. Once I was done I went to the post office to send it. At the Post office the guy behind the counter gave me a stamp so I could send the letter,2,2,1,4,2,2.2,0.89942,1.01822,68
184,yea,I wanted to write a letter to my dog. I sealed up the envelope and put the stamp on it. When i was out and about i went to the post office to send it. When the letter reached my dog he ate the letter.,4,5,4,4,3,4,0.62546,0.93248,45
185,yes,"My husband had just left for the war and I had mixed feelings about it. I have always imagined from the movies, writing a letter would be romantic. However, once you put the stamp on that envelope and send your first letter, it will feel like ages when you receive one back. ",4,3,3,4,3,3.4,1.40611,1.15607,52
186,y,"Little Marco was very excited for Christmas. He was so excited for Santa to come and bring him presents, so he wrote out his Christmas list and letter to Santa on a piece of paper. He tied his letter to his dog Big Marco's collar, then decided to send him down to the post office so he wouldn't have to go. However, we forgot to put a stamp on the letter so they would not send it. Big Marco ran away and Christmas was ruined.",4,5,5,4,4,4.4,0.88992,0.88963,85
